#S/N 40: 
0.375 0.117139
0.4375 0.18687
0.5 0.234115
0.5625 0.275149
0.625 0.293821
0.6875 0.322895
0.75 0.358887
0.8125 0.362498
0.875 0.405744
0.9375 0.397309
1 0.417114
1.0625 0.441968
1.125 0.442189
1.1875 0.450182
1.25 0.458281
1.3125 0.474955
1.375 0.472851
1.4375 0.462294
1.5 0.390772
1.5625 0.358834
1.625 0.365444
1.6875 0.417459
1.75 0.444307
1.8125 0.43333
1.875 0.436222
1.9375 0.437759
2 0.412064
2.0625 0.315299
2.125 0.366028
2.1875 0.339838
2.25 0.350816
2.3125 0.392301
2.375 0.306082
2.4375 0.326748
2.5 0.293469
